comedian,full_name,country,bio,birth_year
Doug Benson,Douglas Robert Benson,USA,"Douglas Robert ""Doug"" Benson (born May 7, 1964) is an American stand-up comedian and actor who has appeared on Comedy Central Presents, Best Week Ever and was a contestant on Last Comic Standing in the show's fifth season. In 2007, he starred in the film Super High Me, a documentary about marijuana usage. Benson also currently hosts the popular Doug Loves Movies podcast. His Comedy Central series The Benson Interruption ended its first season in December 2010 and was turned into a monthly podcast in January 2011. Benson was born and raised in San Diego, California. After attending Grossmont College, a community college in El Cajon, he moved to Los Angeles to pursue an acting career.",1964
Doug Stanhope,Douglas Gene Stanhope,USA,"Douglas Gene ""Doug"" Stanhope (born March 25, 1967) is an American stand-up comedian, actor and author known for his abrasive and controversial comedy style. He has made appearances at several major comedy festivals, including the Montreal Just For Laughs, US Comedy Arts Festival in Aspen, Colorado, the Chicago Comedy Festival and the Edinburgh Festival Fringe in Scotland, where he won the Strathmore Press Award in 2002. Stanhope was the winner of the 1995 San Francisco International Comedy Competition where he edged out Dane Cook in a three-week contest. In 2003 and 2004, Stanhope co-hosted the fifth and sixth seasons of The Man Show with Joe Rogan. He hosted his own radio show on SIRIUS Satellite Radio in 2005. That year, Stanhope hosted Girls Gone Wild: America Uncovered. When asked what it was like working with Girls Gone Wild creator Joe Francis, Stanhope admitted ""He's pure, unadulterated evil,"" and ""The most awful human being I've ever met in all of my time in the entertainment business."" He has established a group of touring comics known as The Unbookables featuring artists such as Andy Andrist, Sean Rouse, James Inman, Brett Erickson, Travis Lipski, Brendon Walsh, Norman Wilkerson, Kristine Levine, and Brian Potrafka. The Unbookables' first CD, Morbid Obscenity, also featuring Andrist, Rouse, Lynn Shawcroft, and Banjo Randy, released July 4, 2006, on Stand Up! Records. Stanhope appeared in the film The Aristocrats, telling a caustic joke to a baby. He was the subject of an 8-page feature in British GQ under the title ""Is This America's Most Depraved Man?"" by Robert Chalmers in 2006. In summer 2006, he was booked to appear on several bills at the Cat Laughs Comedy Festival in Kilkenny, Ireland; his extended bit saying that Irish men commit pedophilia because of the ugliness of Irish women earned a hostile reaction from the crowd, the press, and the festival organizers. He appeared alongside Rouse at the Festival Fringe in Edinburgh on August 2006 to 5-star reviews from the press. On his opening night he took what was believed to be an ecstasy tablet that was handed to him by a member of the audience. During his Edinburgh performance he included a segment that was perceived as anti-Semitic. Stanhope responded in his 2007 Showtime special, No Refunds, by elaborating on the incident. He self-published a book, Fun with Pedophiles: The Best of Baiting in October 2006, which includes several instances of his setting up a false Internet instant-messaging persona to offer sex, and then verbally abusing the ""baitee"" in a chat session that is logged to share with others. He discussed his self-published book and the philosophy behind it on Penn Jillette's radio show on San Diego's 97.1 FreeFM on November 22, 2006. In 2007, Stanhope made two TV specials—one in the US for Showtime, recorded at The Gotham Comedy Club in New York City on March 12; and one for the UK's Channel 4 Comedy Lab, filmed at the Caves in Edinburgh, Scotland titled ""Doug Stanhope: Go Home"". The Showtime special, titled No Refunds, premiered August 3 and was released on DVD August 14. His live show was voted ""Best Comedy Performance of the Year"" by Time Out New York for both 2006 and 2008. On September 25, 2008, Stanhope appeared as a guest panelist on the Channel 4 programme 8 Out of 10 Cats whilst touring in London. Stanhope lives in the Warren tract of Bisbee, Arizona, near the US–Mexico border in a small house with musician/author Amy ""Bingo"" Bingaman. His live show was placed in the top 5 of the 20 Best Live Shows of 2009 by London's The Guardian newspaper. Stanhope's 7th album, From Across The Street, was released on November 24, 2009. In 2010, Stanhope aired a series of vignettes during Newswipe with Charlie Brooker in the UK. In 2013 he did the same during ""Charlie Brooker's Weekly Wipe"". Stanhope is managed by Brian Hennigan. On November 17, 2010, Stanhope signed to rock and metal label Roadrunner Records to launch their new comedy label, Roadrunner Comedy. On May 3, 2011, the album was released: Oslo: Burning The Bridge To Nowhere. In cooperation with the mayor of Reykjavík, comedian Jón Gnarr, Stanhope scheduled a performance in Iceland's only maximum security prison, Litla-Hraun, for September 25, 2011. Fans who want to watch the show would have to commit a crime; for them he invented the Stanhope Defense. Stanhope appeared on the FX television show Louie as Eddie, a fictional comedian that Louis C.K. knew 20 years earlier when they first started performing, in the season 2 episode entitled ""Eddie,"" first aired on August 11, 2011.",1967
Dov Davidoff,Dov Davidoff,USA,"Dov Davidoff is an American comedian. Dov Davidoff is originally from Englishtown, NJ. In addition to performing regularly in clubs and colleges throughout the country, Davidoff also acted in Invincible with Mark Wahlberg, and also appears on TV shows On April 22, 2008, he released a CD entitled ""The Point Is.."" on Comedy Central Records.",2008
Drew Carey,Drew Allison Carey,USA,"Drew Allison Carey (born May 23, 1958) is an American actor, comedian, sports executive, and game show host. After serving in the U.S. Marine Corps and making a name for himself in stand-up comedy, Carey eventually gained popularity starring on his own sitcom, The Drew Carey Show, and serving as host of the U.S. version of the improv comedy show Whose Line Is It Anyway?, both of which aired on ABC. Carey has appeared in several films, television series, music videos, a made-for-television film, and a computer game. He has hosted the television game show The Price Is Right since 2007. He is interested in a variety of sports, has worked as a photographer at U.S. National Team soccer games, is a minority owner of the Major League Soccer team Seattle Sounders FC and a member of the WWE Hall of Fame. Carey has written an autobiography, Dirty Jokes And Beer: Stories Of The Unrefined, detailing his early life and television career. In 1985, he began his comedy career by following up on a suggestion by David Lawrence (a disc jockey friend who had been paying Drew to write jokes for David's radio show in Cleveland) to go to the library and borrow books on how to write jokes. The following year, after winning an open-microphone contest, he became Master of Ceremonies at the Cleveland Comedy Club. He performed at multiple comedy clubs over the next few years in both Cleveland and Los Angeles. He was first brought to the national eye as a comedian when he competed in the 1988 Star Search. Carey was working as a stand-up comedian when he appeared on The Tonight Show Starring Johnny Carson in November 1991. His performance that night impressed Carson, who invited Carey to the couch next to his desk; this was considered a rare honor for any comedian. In that same year, Carey joined the 14th Annual Young Comedians Special on HBO and made his first appearance on Late Night with David Letterman. In 1994, Carey wrote his own stand-up comedy special which aired on Showtime, entitled Drew Carey: Human Cartoon, for which he won a CableACE Award for Best Writing.",1958
Earthquake,Nathaniel Martin Stroman,USA,"Nathaniel Martin Stroman (born May 29, 1963), best known as ""Earthquake"", is an African-American actor, voice artist, and comedian. Earthquake performed a half-hour HBO special as part of the series One Night Stand, which first aired on August 26, 2005. He also had a small role in Kevin Smith's film Clerks II, and a supporting role in the film The Longshots. He had a recurring role as Chris' Uncle Mike, on Everybody Hates Chris. He voiced Root the Rooster in the 2006 CGI film, Barnyard and in the video game of the same title, and continues to do so on the TV series spinoff, Back at the Barnyard. Earthquake was in the U.S. Air Force for eleven years and had attained the rank of Sergeant. While stationed at Eglin Air Force Base in Ft. Walton Beach, Florida, Earthquake would take advantage of an Open Mic Night at the local bar, Top's and Blue's and discovered his comedic destiny on that stage. Earthquake revealed on The Howard Stern Show that while he was in the U.S. Air Force, he once dropped a live nuclear missile when he was loading it into an aircraft. According to Earthquake, the incident caused much panic and was classified as a Broken Arrow, a situation that alerts a large portion of the military, including the President of the United States. He claimed that he dropped the missile because he was rushing to attend a 2 Live Crew concert.",1963
Eddie Griffin,Edward Rubin Griffin,USA,"Edward ""Eddie"" Rubin Griffin (born July 15, 1968) is an American actor and comedian. He is best known for his sitcom Malcolm & Eddie along with co-star Malcolm-Jamal Warner, and his role in the 2002 comedy film Undercover Brother as the film’s title character. Griffin was born in Kansas City, Missouri and raised by his single mother, Doris Thomas, a phone company operator. After attending high school in Kansas City, he enrolled as a biological engineering major at Kansas State University, but left after three months. He was ranked at number 62 on Comedy Central's list of the 100 Greatest Stand-ups of All Time. In 2011 Comedy Central released You Can Tell 'Em I Said It on DVD. It was 82 minutes of unedited and uncensored content.",1968
Eddie Izzard,Edward John Izzard,Yemen,"Edward John ""Eddie"" Izzard (born 7 February 1962) is an English stand-up comedian, actor and writer. His comedy style takes the form of rambling whimsical monologue and self-referential pantomime. He had a starring role in the television series The Riches as Wayne Malloy and has appeared in many motion pictures such as Ocean's Twelve, Ocean's Thirteen, Mystery Men, Shadow of the Vampire, The Cat's Meow, Across the Universe, The Chronicles of Narnia: Prince Caspian and Valkyrie. He is also the voice of Nigel in the 2006 animated film The Wild and Miles Axlerod in the 2011 Disney/Pixar animated film Cars 2. Izzard has cited his main comedy role model as Monty Python and John Cleese once referred to him as the ""Lost Python"". In 2009, he completed 43 marathons in 51 days for Sport Relief in spite of having no prior history of long distance running. He is also known for his transvestism. He has won numerous awards including a Primetime Emmy Award for Individual Performance in a Variety or Music Program for his comedy special Dress to Kill, in 2000. Izzard's web site won the Yahoo People's Choice Award and earned the Webby Award. On 6 September 2012, Izzard presented the medals to the athletes who had won the 800m T54 race at the London2012 Paralympic Games - the gold medal went to Great Britain athlete Dave Weir.",1962
Eddie Murphy,Edward Regan Murphy,USA,"Edward Regan ""Eddie"" Murphy (born April 3, 1961) is an American stand-up comedian, actor, writer, singer, director, and musician. Box office takes from Murphy's films make him the second-highest grossing actor in the United States. He was a regular cast member on Saturday Night Live from 1980 to 1984 and has worked as a stand-up comedian. He was ranked #10 on Comedy Central's list of the 100 Greatest Stand-ups of All Time. He has received Golden Globe Award nominations for his performances in 48 Hrs, Beverly Hills Cop series, Trading Places, and The Nutty Professor. In 2007, he won the Golden Globe for Best Supporting Actor and received a nomination for the Academy Award for Best Supporting Actor for his portrayal of soul singer James ""Thunder"" Early in Dreamgirls. Eddie Murphy's work as a voice actor includes Thurgood Stubbs in The PJs, Donkey in the Shrek series and the dragon Mushu in Disney's Mulan. In some of his films, he plays multiple roles in addition to his main character, intended as a tribute to one of his idols Peter Sellers, who played multiple roles in Dr. Strangelove and elsewhere. Murphy has played multiple roles in Coming to America, Wes Craven's Vampire In Brooklyn, the Nutty Professor films (where he played the title role in two incarnations, plus his father, brother, mother, and grandmother), Bowfinger, Norbit, and Meet Dave.",1961
Ellen DeGeneres,Ellen Lee DeGeneres,USA,"Ellen Lee DeGeneres (born January 26, 1958) is an American stand-up comedian, television host and actress. She hosts the syndicated talk show The Ellen DeGeneres Show. DeGeneres has hosted both the Academy Awards and the Primetime Emmys. As a film actress, she starred in Mr. Wrong, appeared in EDtv and The Love Letter, and provided the voice of Dory in the Disney-Pixar animated film Finding Nemo, for which she was awarded a Saturn Award for Best Supporting Actress, the first and only time a voice performance won a Saturn Award. She was a judge on American Idol for one year, having joined the show in its ninth season. She also starred in two television sitcoms, Ellen from 1994 to 1998 and The Ellen Show from 2001 to 2002. During the fourth season of Ellen in 1997, DeGeneres came out publicly as a lesbian in an appearance on The Oprah Winfrey Show. Shortly afterwards, her character Ellen Morgan also came out to a therapist played by Winfrey, and the series went on to explore various LGBT issues including the coming out process. She has won thirteen Emmys and numerous other awards for her work and charitable efforts. In November 2011, Secretary of State Hillary Clinton named her a Special Envoy for Global AIDS Awareness.",1958
Emo Philips,Emo Philips,USA,"Emo Philips is an American entertainer and comedian born in the Chicago suburb of Downers Grove. Much of his standup comedy stems from the use of paraprosdokians and garden path sentences spoken in a wandering falsetto tone of voice and a confused, childlike delivery of his material to produce the intended comic timing in a manner invoking the 'wisdom of children' or the idiot savant. Philips has recorded three comedy albums. His album E=mo², recorded live at Caroline's in New York City, won the 1985 New Music Award for best comedy album. It was later re-released along with his Live at the Hasty Pudding Theatre album on a single CD. He also released an album called Emo in 2001. A joke of his was voted funniest religious joke ever in a 2005 online poll. In 2006, he appeared at the Newbury Comedy Festival. He was included in the top 50 of E4's 100 Greatest Comedians, and also appeared number 54 on Channel 4's top 100 greatest standups. Aside from Philips' long career as a standup comic, he has been featured in acting roles on television series such as Miami Vice and The Weird Al Show. He has also recently appeared on British television, appearing as a guest on the panel game 8 Out of 10 Cats. Philips has several voiceover credits, including work on the animated series Dr. Katz, Professional Therapist; Home Movies; Space Ghost: Coast to Coast; Adventure Time as Cuber the mysterious storyteller; and the voice of Dooper in the animated series Slacker Cats. He has appeared in feature films, including 1989's UHF (as a rather clumsy school shop teacher who accidentally saws his thumb off), the original 1992 version of Meet the Parents (also executive producer), and Desperation Boulevard in 1998.",1985
Eugene Mirman,Eugene Boris Mirman,Russia,"Eugene Boris Mirman (born July 24, 1974) is a Russian-born American comedian and writer. Mirman also played Yvgeny Mirminsky on Delocated, and voices Gene Belcher on the animated comedy Bob's Burgers. In 2004, Mirman released The Absurd Nightclub Comedy of Eugene Mirman, a CD/DVD on Suicide Squeeze Records. The album was voted one of the Best Albums of 2004 by both The A.V. Club and Time Out New York. His second album, En Garde, Society was released by Sub Pop in 2006. Three years later, Mirman released another comedy album titled God Is a Twelve-Year-Old Boy with Aspergers which was recorded in Chicago at the Lakeshore Theatre. Mirman has appeared at the U.S. Comedy Arts Festival in Aspen, Colorado, the Just for Laughs Festival in Montreal, Bumbershoot, and South by Southwest. He co-produced the weekly standup-variety show Invite Them Up with Bobby Tisdale and Holly Schlesinger, which won a Nightlife Award. He currently produces Pretty Good Friends (formerly Tearing the Veil of Maya) at Union Hall in Park Slope, Brooklyn with Julie Smith, which has been voted the best comedy night in New York City by New York Magazine. Mirman, much like David Cross and Patton Oswalt, is known to often perform in rock clubs and theaters as opposed to traditional comedy clubs. Often touring the United States, Mirman occasionally opens for the comedy troupe Stella (former members of The State). He has opened for various bands such as The Shins and toured with Modest Mouse, Yo La Tengo, Gogol Bordello, Andrew Bird, and Cake. Mirman also toured with Patton Oswalt, Brian Posehn and Maria Bamford on the Comedians of Comedy tour. He has toured as an opener for Flight of the Conchords and with Andy Kindler and Marc Maron in Stand Uppity. He plays the character Eugene in the Flight of the Conchords HBO television series. In January 2010, Mirman performed standup on the John Oliver's New York Stand Up Show on Comedy Central. Mirman's Eugene Mirman Comedy Festival has been running since 2008.",1974
Felipe Esparza,Felipe Esparza,Mexico,"Felipe Esparza is a comedian and actor, best recognized for his raw, real-life comedy that audiences everywhere can relate to. Known for his wild hair and his often-imitated phrase, ""what's up, fool?"", people are always surprised to find out that Felipe is also the same person referred to and imitated in several infamous stories by fellow comedian, Gabriel Iglesias. Felipe has most recently been seen as the winner of NBC's Last Comic Standing (2010) and is currently touring comedy clubs and theaters across the country. Felipe is a product of the streets of East Los Angeles (Boyle Heights, to be exact) and much of his material is the result of seeing the humor in the struggles of everyday life. Felipe got immediate television exposure, when he appeared on a Showtime, ""Diamonds in the Rough"" segment, just 1 1/2 years into his stand-up career. Since that time, he has appeared on numerous television shows, including ABC's ""Comics Unleashed"", Comedy Central's ""Premium Blend"" and ""Russell Simmons Presents Stand-Up at the El Rey"", Showtime's ""Comics Without Borders"", BET's ""Comic View"", and Galavisión's ""Que Locos"" (where he holds the title of most appearances by any comedian). In 2009, he appeared in his first two feature-length films, ""The Deported"", with Nick Turturro, Talia Shire, and Paul Rodriguez and a feature-length film based on his stand-up comedy called, ""I'm Not Like That No More"", where he stars opposite Paul Rodriguez. He recently wrapped production on his 1-hour stand-up special entitled ""They're Not Gonna Laugh at You"", which is scheduled to air on Showtime in fall, 2011.",2010
Flight of the Conchords,Flight of the Conchords,New Zealand,"Flight of the Conchords is a New Zealand-based comedy duo composed of Bret McKenzie and Jemaine Clement. The duo's comedy and music became the basis of a BBC radio series and then an American television series, which premiered in 2007 on HBO, also called Flight of the Conchords. They used to refer to themselves as ""New Zealand's 4th most popular guitar-based digi-bongo acapella-rap-funk-comedy folk duo"", however now are ""the almost award-winning fourth-most-popular folk duo in New Zealand."" They were named Best Alternative Comedy Act at the 2005 US Comedy Arts Festival and Best Newcomer at the Melbourne Comedy Festival, and they received a nomination for the Perrier Comedy Award at the 2003 Edinburgh Festival Fringe for their show at Edinburgh venue The Caves. The duo's live performances have gained them a worldwide cult following.",2007
Flip Wilson,"Clerow Wilson, Jr.",USA,"Clerow Wilson, Jr. (December 8, 1933 – November 25, 1998), known professionally as Flip Wilson, was an American comedian and actor. In the early 1970s, Wilson hosted his own weekly variety series, The Flip Wilson Show. The series earned Wilson a Golden Globe and two Emmy Awards. In January 1972, Time magazine featured Wilson's image on their cover and named him ""TV's first black superstar"". Born in Jersey City, New Jersey, he was one of 18 children in an impoverished household. After years of bouncing from foster homes to reform school, 16-year-old Wilson lied about his age and joined the United States Air Force. His outgoing personality and funny stories made him popular; he was even asked to tour military bases to cheer up other servicemen. Claiming that he was always ""flipped out,"" Wilson's barracks mates gave him his famous nickname. Discharged in 1954, Wilson started working as a bellhop in San Francisco's Manor Plaza Hotel. At the Plaza's nightclub, Wilson found extra work playing a drunken patron in between regularly scheduled acts. His inebriated character proved popular and Wilson began performing it in clubs throughout California. He managed to get jobs at various comedy clubs using his nickname, Flip. At first Wilson would simply ad-lib on-stage, but in time, he added written material and his act became more sophisticated. During the 1960s, Wilson became a regular at the Apollo Theater in Harlem and was a favorite guest on The Tonight Show, Laugh-In, and The Ed Sullivan Show. In 1970, Wilson won a Grammy Award for his comedy album The Devil Made Me Buy This Dress.",1933
Frank Caliendo,Frank Caliendo,USA,"Frank Caliendo (born January 19, 1974) is an American comedian and impressionist, best known for his work on the Fox Network television series MADtv, and as the in-house prognosticator for Fox NFL Sunday. In 2007 and 2008, he performed his impersonations on his own show, Frank TV, which aired on TBS. He is known for his impressions of Charles Barkley, NFL color commentator John Madden, sportscaster Jim Rome, comedian Robin Williams, actor William Shatner, and United States Presidents George W. Bush and Bill Clinton, and for his frequent appearances on The Bob & Tom Show. He has released six solo CDs, and has performed as many as 120 impressions. From 2009 to 2011 he had a show at the Monte Carlo Resort and Casino on the Las Vegas Strip. He now tours. Caliendo was born in Chicago, Illinois, and was raised in Waukesha, Wisconsin, where he attended Waukesha South High School. He is of Italian ancestry. Before graduating from University of Wisconsin–Milwaukee, Caliendo began performing stand-up comedy at many different local night clubs and comedy clubs, eventually taking a job as a master of ceremonies at a local comedy club. Frank quickly became known for his spot on impressions of Columbo, the Seinfeld cast, Jonathan Winters, and many more which he mastered while bedridden after a painful back surgery. Within just a few years, he was very active on the college circuit, driving thousands of miles in his car. During these years, he built a reputation as one of the circuit's top performers. Between 2000 and 2001, Caliendo made his television debut on sketch comedy series Hype and later gaining significant national exposure on the comedy series MADtv. Caliendo has performed stand-up on such series as cable's Premium Blend, Late Show with David Letterman, Late Late Show with Craig Kilborn, The View, The Late Late Show with Craig Ferguson, and Late Night with Conan O'Brien. He was featured in Comedy Central's animated series Shorties Watchin' Shorties in 2004. His signature John Madden impression is frequently seen on Fox NFL Sunday, The Best Damn Sports Show Period and Mohr Sports. Caliendo has also appeared on Comedy Central's Comedy Central Presents, as well as many radio shows, including Randy Baumann and the DVE Morning Show, The Dan Le Batard Show, The Junkies, Bob & Sheri, The Bob & Tom Show, Mike and Mike in the Morning, Opie and Anthony, The Don and Mike Show, Rise Guys, Bubba the Love Sponge, The John Boy and Billy Big Show, The Howard Stern Show, Mike and the Mad Dog, Elliot in the Morning, The Sports Inferno, The Rick and Bubba Show, The Roe Conn Show, Preston and Steve, Bob and Brian, The Glenn Beck Program, and Holmberg's Morning Sickness, and Lamont & Tonelli on 107.7 The Bone in San Francisco.",1974
Franklyn Ajaye,Franklyn Ajaye,USA,"Franklyn Ajaye (born May 13, 1949) is an American stand-up comedian and actor. His nickname is ""The Jazz Comedian"" as he also played jazz for a time earlier in his entertainment career. His name is sometimes alternatively spelled Franklin Ajaye. He was born in Brooklyn, New York but raised in Los Angeles by a Sierra Leonan father and a Florida-born mother. Ajaye is, as he likes to joke, a ""true African-American."" He has released five comedy albums to date: Franklyn Ajaye, Comedian (1973), I'm a Comedian, Seriously (1974), Don't Smoke Dope, Fry Your Hair (1977), Plaid Pants and Psychopaths (1986), and Vagabond Jazz & the Abstract Truth (2004). Ajaye made his network debut on The Flip Wilson Show in 1973 and made his first appearance on The Tonight Show Starring Johnny Carson a year later. In 1977, he appeared in episode 5, during season 3 of Saturday Night Live. Ajaye emigrated to Melbourne, Australia in 1997, but returns to the United States periodically to do stand-up at clubs or in television specials. He is known in Australia for his appearances on The Panel and Thank God You're Here. He has also worked as an actor, appearing in films such as Car Wash, Convoy, Stir Crazy, The 1980 version of The Jazz Singer, Hollywood Shuffle, and The Wrong Guys. He has been seen more recently in the TV show Deadwood. Ajaye has also been nominated twice for the Emmy for Outstanding Writing in a Variety or Music Program for In Living Color (1990) and Politically Incorrect (1997). On his stand-up television show Stewart Lee's Comedy Vehicle, British comedian Stewart Lee mocked Ajaye's LP I'm a Comedian, Seriously, sarcastically questioning the track titles of ""Homosexuals,"" ""Girls With Big Breasts,"" and ""Dick Caught In Zipper,"" in the context of the implication of the album sleeve notes that Ajaye was a deep thinker. On an episode of Thank God You're Here, Tony Martin showed Ajaye a copy of his comedy album Plaid Pants And Psychopaths which has his first name misspelled. Ajaye is the author Comic Insights: The Art of Standup Comedy (ISBN 978-1-879505-54-4), which contains tips for aspiring comedians as well as interviews with comic legends. In 2011, Ajaye had a small role in the box office hit Bridesmaids, playing the father of Lillian (played by Maya Rudolph).",1949
Freddie Prinze,Frederick Karl Pruetzel,USA,"Freddie Prinze (Frederick Karl Pruetzel; June 22, 1954 – January 29, 1977) was an American actor and stand-up comedian. Prinze was the star of 1970s sitcom Chico and the Man. He is the father of actor Freddie Prinze, Jr. Prinze was born Frederick Karl Pruetzel at St. Clair's Hospital in New York City, son of Edward Karl Pruetzel and his wife Maria Graniela Pruetzel. His mother was Puerto Rican, and his father was a German immigrant who had arrived in the U.S. in 1934. Prinze identified himself as Puerto Rican, and for comedic purposes called himself a ""Hungarican."" Prinze was raised in a mixed neighborhood in Washington Heights, New York City. When Prinze was a small child, his mother enrolled him in ballet classes to deal with a weight problem. Without telling his parents, Prinze successfully auditioned for the Fiorello H. LaGuardia High School of Performing Arts, where he was introduced to drama and continued ballet—and where he discovered his gift for comedy while entertaining crowds in the boys restroom. He dropped out of school in his senior year to become a stand-up comedian.",1954
Gabriel Iglesias,Gabriel J. Iglecias,USA,"Gabriel J. Iglecias (born July 15, 1976), known professionally as Gabriel Iglesias, is an American stand-up comedian, actor, writer, producer and voice actor. He is known for his shows I'm Not Fat… I’m Fluffy and Hot & Fluffy. He employs storytelling, effected voices and sound effects in his act, whose other trademarks include references to his weight and his use of Hawaiian shirts. He has been called a ""comedy genius"" by Hector Saldaña of the San Antonio Express-News. Before going into comedy, Iglesias worked for a cell phone company in Los Angeles. Although his family urged him to remain in that job for its financial security, he insisted on trying his hand at comedy. When maintaining both occupations proved too difficult to handle, he decided to take the risk of doing comedy full time, against the advice of his mother, who cautioned him against such a move. Iglesias nonetheless left the phone company, which eventually resulted in his being evicted from his home and losing his car. Despite this, he persisted with comedy. Iglesias often references his weight in his comedy, often saying, ""Oh, I’m not fat, I’m fluffy"", a term he says was popular among overweight people in the 1940s, which he decided to use in his act. He also references different ""Levels of Fatness"" in his act, having once described ""Five Levels of Fatness"", and eventually adding a sixth, called ""Oh, Hell no!"" in 2009. He also employs voices, sound effects and storytelling in his act, and his other trademark signatures include his Hawaiian shirts and a ""nice-guy veneer"". In 2000, he appeared in season 6 of the Nickelodeon sketch comedy series All That, co-starring with Amanda Bynes and Nick Cannon. In 2007, Iglesias voiced an entire Mexican family in ""Padre de Familia"", a sixth season episode of the Fox TV animated comedy Family Guy. That same year, he began voicing a recurring set of identical twin characters on The Emperor's New School, a Disney animated series that he describes as his favorite voice work. Iglesias was a contestant on the fourth season of reality TV series Last Comic Standing in 2006, surviving elimination to become one of the final eight comics. He was disqualified at that point for having used a smuggled BlackBerry to communicate with family and friends, which violated the rules of the show. In November 2009, Comedy Central released the DVD of the show Gabriel Iglesias: I'm Not Fat... I'm Fluffy. In 2011, Comedy Central debuted Gabriel Iglesias Presents Stand Up Revolution, a standup showcase series with Iglesias produces and hosts. Hector Saldaña of the San Antonio Express-News praised Iglesias and the other comedian he assembled for the show, calling it ""one of the all-time funniest comedy package tours"" and Iglesias a ""comedy genius"". Iglesias has currently hosted/co-hosted six episodes of Equals Three, more than any other guest. Iglesias plays a strip club DJ and drug dealer in the 2012 film Magic Mike.",1976
Gallagher,"Leo Anthony Gallagher, Jr.",USA,"Gallagher (born Leo Anthony Gallagher, Jr.; July 24, 1946) is an American comedian, and prop comic, most popularly known for smashing watermelons as part of his act. After college, Gallagher began working as comic/musician Jim Stafford's road manager. Stafford and Gallagher went out to California in 1969 and Gallagher decided to take the stage himself. He began honing his own comedy act while hanging out at both The Comedy Store and the Ice House. He was repeatedly turned down to appear on The Tonight Show in the 1970s and 1980s, as Johnny Carson didn't enjoy prop comedy. However, he was liked by some of the program's staff, and Gallagher eventually performed several times on the show when guest hosts were filling in for Carson. Gallagher was one of the most popular and recognizable American comedians during the 1980s. He performed 14 comedy specials for Showtime. These shows have been re-broadcast numerous times, notably on Comedy Central. His first special was directed by Mike Nesmith, formerly of The Monkees. Running for Governor in the 2003 California recall election, Gallagher finished 16th out of 135 candidates with 5,463 votes. He was shown as being on 16th on the list by a CNN website, with 4,684 votes; but a California Secretary of State website shows that he received 5,463 votes.",1946
Garry Shandling,Garry Emmanuel Shandling,USA,"Garry Emmanuel Shandling (born November 29, 1949) is an American comedian, actor and writer. He is best known for his work in It's Garry Shandling's Show and The Larry Sanders Show. Shandling began his career writing for sitcoms such as Sanford and Son and Welcome Back, Kotter. He made a successful stand-up performance on The Tonight Show Starring Johnny Carson and became a frequent guest-host on the show. Shandling was for a time considered the leading contender to replace Carson (other hopefuls were Joan Rivers, David Letterman and David Brenner). In 1986 he created It's Garry Shandling's Show, for the pay cable channel Showtime. It was nominated for four Emmy Awards (including one for Shandling) and lasted until 1990. His second show, The Larry Sanders Show, which began airing on HBO in 1992, was even more successful. Shandling was nominated for 18 Emmy Awards for the show and won in 1998, along with Peter Tolan, for writing the series finale. During his three-decade career, Shandling has been nominated for 19 Primetime Emmy Awards, two Golden Globe Awards, along with many other awards and nominations.",1949
Gary Gulman,Gary Lewis Gulman,USA,"Gary Lewis Gulman (born July 17, 1970) is a stand-up comedian. He was a finalist on the NBC reality-talent show Last Comic Standing (seasons 2 and 3). In season 2, he finished in third place behind John Heffron and Alonzo Bodden. In 2005, he released his first CD, Conversations With Inanimate Objects. Gulman was born on July 17, 1970 in Peabody, Massachusetts, is a 1993 graduate of Boston College where he played football as a tight end, and is a former elementary school gym teacher and substitute teacher. He is Jewish. He was well known for trying out his stand-up routines on his high-school aged students before bringing them to the stage at night. Gulman's comedy centers on absurd observations about daily occurrences. He has performed on The Tonight Show with Jay Leno, Late Show with David Letterman, The Late Late Show with Craig Ferguson, Jimmy Kimmel Live! and Conan. Gulman appeared with Dane Cook, Jay Davis, and Robert Kelly on Dane Cook's Tourgasm. On November 25, 2006, Gary Gulman starred in his own one-hour Comedy Central special entitled ""Gary Gulman: Boyish Man"". His second Comedy Central special aired on December 8, 2012 called ""In This Economy."" Gary is now the host of NESN's Comedy All-Stars.",1970
George Burns,Naftaly Birnbaum,USA,"George Burns (January 20, 1896 – March 9, 1996), born Naftaly Birnbaum, was an American comedian, actor, and writer. He was one of the few entertainers whose career successfully spanned vaudeville, film, radio, and television. His arched eyebrow and cigar smoke punctuation became familiar trademarks for over three quarters of a century. Beginning at the age of 79, Burns' career was resurrected as an amiable, beloved and unusually active old comedian, continuing to work until shortly before his death, in 1996, at the age of 100.",1996
